farmacia,nome,marca,ean_gtin,preco_de,preco_por,preco_cartao,preco_pix,desconto_pct,url,data_coleta
FarmaPonte,"Azelan 150Mg G, Caixa Com 1 Bisnaga Com 30G De Gel De Uso Dermatologico",,5702191025637,93.73,89.98,89.98,88.18,4.0,https://www.farmaponte.com.br/azelan-150mgg-caixa-com-1-bisnaga-com-30g-de-gel-de-uso-dermatologico/p,2026-05-05 09:09:20
FarmaPonte,"Steaton 200Mg, Caixa Com 60 Capsulas",Aché,7896658028519,189.84,159.9,159.9,156.7,15.77,https://www.farmaponte.com.br/steaton-200mg-caixa-com-60-capsulas/p,2026-05-05 09:09:20
FarmaPonte,"Neosoro 0,5Mg Ml, Caixa Com 1 Frasco Gotejador Com 30Ml De Solucao De Uso Nasal",Neo Química,2000100363348,12.14,6.31,6.31,6.18,48.02,https://www.farmaponte.com.br/neosoro-05mgml-caixa-com-1-frasco-gotejador-com-30ml-de-solucao-de-uso-nasal/p,2026-05-05 09:09:20
FarmaPonte,"Alopurinol Medley 100Mg, Caixa Com 30 Comprimidos",Medley,7896422516921,11.9,11.54,11.54,11.31,3.03,https://www.farmaponte.com.br/alopurinol-medley-100mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:20
FarmaPonte,Sinvastatina 20mg Genérico Cimed 30 Comprimidos,Cimed,7896523215235,34.43,11.93,11.93,4.65,65.35,https://www.farmaponte.com.br/sinvastatina-cimed-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:21
FarmaPonte,"Dorflex, Caixa Com 36 Comprimidos",Sanofi,7891058017507,24.95,24.15,24.15,23.67,3.21,https://www.farmaponte.com.br/dorflex-35mg-300mg-50mg-caixa-com-36-comprimidos-porta-blister-1-unidade/p,2026-05-05 09:09:21
FarmaPonte,Suplemento Alimentar Regenesis Premium Lipinova 120 Cápsulas Gelatinosas Moles,,7908134200811,320.58,254.89,254.88,249.79,20.49,https://www.farmaponte.com.br/suplemento-alimentar-regenesis-premium-lipinova-120-capsulas-gelatinosas-moles/p,2026-05-05 09:09:21
FarmaPonte,"Dipirona Sodica Prati-Donaduzzi 500Mg, Blister Com 10 Comprimidos",Prati-Donaduzzi,7898148294121,5.4,5.4,5.4,5.29,0.0,https://www.farmaponte.com.br/dipirona-sodica-prati-donaduzzi-500mg-blister-com-10-comprimidos/p,2026-05-05 09:09:22
FarmaPonte,Fascia Prime Sabor Tangerina com 30 sachês,Biolab,7896112402312,357.12,267.84,267.84,262.48,25.0,https://www.farmaponte.com.br/fascia-prime-30-saches/p,2026-05-05 09:09:22
FarmaPonte,Bálsamo Bengué Pomada 20G,EMS,7896004817569,29.62,24.73,24.73,24.24,16.51,https://www.farmaponte.com.br/balsamo-bengue-025gg-025gg-caixa-com-1-bisnaga-com-20g-de-pomada-de-uso-dermatologico/p,2026-05-05 09:09:22
