farmacia,url,nome,marca,ean_gtin,preco_de,preco_por,desconto_pct,preco_cartao,data_coleta
FarmaPonte,https://www.farmaponte.com.br/sinvastatina-cimed-20mg-caixa-com-30-comprimidos-revestidos/p,Sinvastatina 20mg Genérico Cimed 30 Comprimidos,Cimed,7896523215235,34.43,4.65,86.49,11.93,2026-05-04 13:30:29
FarmaPonte,https://www.farmaponte.com.br/azelan-150mgg-caixa-com-1-bisnaga-com-30g-de-gel-de-uso-dermatologico/p,"Azelan 150Mg G, Caixa Com 1 Bisnaga Com 30G De Gel De Uso Dermatologico",,5702191025637,93.73,88.18,5.92,89.98,2026-05-04 13:30:32
FarmaPonte,https://www.farmaponte.com.br/hirudoid-500mg-gel-40gr/p,Hirudoid 5mg g gel bisnaga com 40g,Daiichi-Sankyo,7897411601543,49.69,48.19,3.02,49.17,2026-05-04 13:30:35
FarmaPonte,https://www.farmaponte.com.br/suplemento-alimentar-regenesis-premium-lipinova-120-capsulas-gelatinosas-moles/p,Suplemento Alimentar Regenesis Premium Lipinova 120 Cápsulas Gelatinosas Moles,,7908134200811,320.58,249.79,22.08,84.96,2026-05-04 13:30:37
FarmaPonte,https://www.farmaponte.com.br/nistatina-oxido-de-zinco-ems-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p,Nistatina + Óxido de Zinco - EMS 100mui + 200mg pomada bisnaga com 60g,EMS,7896004711195,36.06,23.68,34.33,24.16,2026-05-04 13:30:40
FarmaPonte,https://www.farmaponte.com.br/balsamo-bengue-025gg-025gg-caixa-com-1-bisnaga-com-20g-de-pomada-de-uso-dermatologico/p,Bálsamo Bengué Pomada 20G,EMS,7896004817569,29.62,24.24,18.16,24.73,2026-05-04 13:30:44
FarmaPonte,https://www.farmaponte.com.br/loratamed-10mg-caixa-com-12-comprimidos/p,"Loratamed 10Mg, Caixa Com 12 Comprimidos",Cimed,7896523202822,22.44,9.55,57.44,9.74,2026-05-04 13:30:47
FarmaPonte,https://www.farmaponte.com.br/levotiroxina-sodica-merck-100mcg-caixa-com-30-comprimidos/p,"Levotiroxina Sodica Merck 100Mcg, Caixa Com 30 Comprimidos",Merck,7891721202858,10.71,10.18,4.95,10.39,2026-05-04 13:30:51
FarmaPonte,https://www.farmaponte.com.br/fascia-prime-30-saches/p,Fascia Prime Sabor Tangerina com 30 sachês,Biolab,7896112402312,357.12,262.48,26.5,89.28,2026-05-04 13:30:54
FarmaPonte,https://www.farmaponte.com.br/kollis-solucao-gotas-8ml/p,Suplemento Alimentar Pediátrico Kollis 8Ml Gotas,,7894916513722,189.0,155.84,17.54,53.01,2026-05-04 13:30:57
FarmaPonte,https://www.farmaponte.com.br/aradois-50mg-caixa-com-30-comprimidos-revestidos/p,"Aradois 50Mg, Caixa Com 30 Comprimidos Revestidos",Biolab,7896112486787,57.29,12.26,78.6,12.51,2026-05-04 13:30:59
FarmaPonte,https://www.farmaponte.com.br/lacday-60cpr-mast/p,Lacday 10.000U.Fcc 60 Comprimidos Mastigáveis,,7896004759975,145.08,97.02,33.13,99.0,2026-05-04 13:31:03
FarmaPonte,https://www.farmaponte.com.br/lufta-gastro-pro-c-12-sachet-10ml/p,Lufta Gastro Pro C 12 Sachet 10Ml,,7891035650147,60.86,57.13,6.13,58.3,2026-05-04 13:31:06
